date,open,high,low,close,volume
2020-01-10,77.83,78.15,77.06,77.6,16362
2020-01-13,77.85,79.34,77.58,79.33,12646
2020-01-14,78.88,79.44,78.04,78.23,17067
2020-01-15,77.59,78.86,77.38,77.78,15971
2020-01-16,78.27,78.9,77.84,78.76,13004
2020-01-17,79.0,79.69,78.78,79.62,13968
2020-01-21,78.75,79.74,78.75,79.15,15726
2020-01-22,79.34,79.99,79.1,79.3,16060
2020-01-23,79.16,79.89,78.91,79.82,16146
2020-01-24,79.89,80.82,79.38,79.55,21473
2020-01-27,78.25,78.38,76.5,77.2,23664
2020-01-28,77.68,81.87,77.2,81.12,22216
2020-01-29,80.75,81.95,80.34,80.89,24319
2020-01-30,81.04,81.17,79.69,80.82,22243
2020-01-31,80.53,80.96,77.09,77.25,21815
2020-02-03,77.55,78.35,75.56,77.01,23873
2020-02-04,78.08,79.9,77.15,79.85,19424
2020-02-05,80.05,81.17,79.63,80.45,21439
2020-02-06,80.92,81.34,80.06,81.31,15761
2020-02-07,80.83,81.16,79.53,80.0,18064
2020-02-10,79.3,80.39,78.47,80.27,15092
2020-02-11,80.45,80.95,79.67,79.85,15913
2020-02-12,80.15,81.82,79.88,81.76,13600
2020-02-13,81.0,81.78,80.25,81.33,16360
2020-02-14,81.26,81.56,80.7,81.17,13838
2020-02-18,77.5,79.93,77.5,79.75,17097
2020-02-19,80.0,81.13,79.71,80.83,12247
2020-02-20,80.82,81.16,79.65,79.98,16118
2020-02-21,79.38,80.08,77.62,78.16,15608
2020-02-24,74.5,76.01,72.31,74.49,25095
2020-02-25,75.07,75.63,71.54,72.13,25862
2020-02-26,72.07,74.45,70.25,73.01,27599
2020-02-27,72.5,73.16,68.01,68.1,35070
2020-02-28,67.59,69.56,64.1,68.9,36422
2020-03-02,68.77,74.7,68.07,74.44,38899
2020-03-03,75.08,76.0,71.45,72.17,39698
2020-03-04,73.57,75.75,72.27,75.34,33419
2020-03-05,74.16,75.71,72.85,73.15,33019
2020-03-06,72.0,73.27,70.05,72.1,35752
2020-03-09,67.5,69.5,66.13,66.54,40913
2020-03-10,68.82,71.42,66.74,70.93,62338
2020-03-11,69.44,71.27,68.04,69.14,35757
2020-03-12,65.73,68.85,61.12,61.13,51767
2020-03-13,64.2,69.6,62.22,68.71,38683
2020-03-16,63.47,64.73,59.71,61.18,52900
2020-03-17,63.75,64.65,59.6,62.39,41208
2020-03-18,59.75,63.18,58.88,61.41,54456
2020-03-19,63.25,63.25,60.37,61.15,38879
2020-03-20,60.83,64.6,57.0,57.1,41437
2020-03-23,55.07,59.51,53.15,55.86,39183
2020-03-24,57.0,61.95,55.87,61.89,41547
2020-03-25,63.25,64.97,61.01,61.42,40745
2020-03-26,60.38,64.63,60.06,64.25,36117
2020-03-27,63.23,63.96,61.73,61.8,34743
2020-03-30,61.38,63.85,61.38,63.51,27041
2020-03-31,64.18,65.6,62.99,63.43,25865
2020-04-01,61.93,63.43,59.77,60.27,29026
2020-04-02,60.68,61.5,59.22,61.31,32349
2020-04-03,60.88,61.4,59.73,60.41,25186
2020-04-06,62.95,65.76,62.25,65.4,23559
2020-04-07,66.77,67.84,64.52,64.52,26011
2020-04-08,64.95,66.84,64.25,66.48,23879
2020-04-09,66.78,67.54,65.55,67.06,26237
2020-04-13,67.1,68.36,66.45,68.29,20085
2020-04-14,69.37,71.99,68.24,71.88,20849
2020-04-15,70.96,71.56,69.81,71.11,21817
2020-04-16,71.92,72.25,70.57,71.78,21540
2020-04-17,73.73,73.73,69.21,70.64,23105
2020-04-20,70.63,70.63,69.0,69.1,24187
2020-04-21,69.26,69.58,66.35,67.13,27426
2020-04-22,67.35,69.42,67.11,68.88,21727
2020-04-23,68.46,70.42,68.32,68.51,24256
2020-04-24,68.26,70.74,68.11,70.74,21925
2020-04-27,70.71,71.63,69.97,70.69,20241
2020-04-28,70.69,71.6,69.66,69.88,23117
2020-04-29,69.9,72.65,69.7,72.56,23104
2020-04-30,72.63,75.28,71.8,72.33,26881
2020-05-01,71.92,74.74,70.6,72.29,36894
2020-05-04,72.38,73.27,71.58,73.16,19174
2020-05-05,73.16,75.24,73.16,74.37,19379
2020-05-06,74.37,75.8,74.37,75.03,20595
2020-05-07,75.03,76.28,74.75,76.09,19682
2020-05-08,76.05,77.58,75.92,77.51,15797
2020-05-11,77.77,79.24,76.75,78.71,22227
2020-05-12,78.72,79.91,77.31,77.32,24484
2020-05-13,77.21,78.97,75.81,77.06,32936
2020-05-14,77.05,77.56,75.38,77.39,30502
2020-05-15,77.36,77.81,74.87,76.8,30312
2020-05-18,76.85,79.05,76.78,78.64,20497
2020-05-19,78.64,79.62,78.25,78.33,20309
2020-05-20,78.28,79.87,78.14,79.85,19369
2020-05-21,79.85,80.21,78.96,79.15,21667
2020-05-22,79.15,79.8,78.03,79.78,17716
2020-05-26,79.79,81.35,79.15,79.3,20577
